,content
75,"현대카드 제로 할인형으로 발급받고자 합니다.

설계사 통해서 좋은혜택으로 발급받고 싶네여

쪽지 주세요"
76,지원금 주는 분이셨으면 좋겠네요 카드는 m시리즈로 생각중에 있습니다! 
77,"현재 현대카드 없구요 처음 신규등록입니다~
혜택에 맞춰서 사업자 카드나 일반카드 받을생각입니다
코스트코에서 물품을 사야해서 월 40이상 사용할 예정입니다. 현금 지원 많이 해주시는 설계사분 있으시면 아려부세요ㅠㅠ!"
78,현대카드 레드나 퍼플 설계사님 ~
79,"현대카드 설계사님

제로카드 포인트형 + 카멜레온 신규 발급받은 후

하이마트 현대카드 M 에디션2 통신할인형 발급받으려고 합니다

하이마트 카드 카멜레온으로 사용시 실적 인정해주실수 있는 설계사님 쪽지 부탁드립니다

카드 사용유지 조건 및 혜택 알려주세요"
80,"현대카드 설계사찾아요
현재 대학생이고요 65만원씩 20개월이상 적금유지하고있고
10만원정도 보험가입중입니다
삼성카드 쓰다가 현대 zero적립형 으로 넘어가려고요
혜택 좋은 분 찾아요"
81,"서울/남양주
현대 M카드 만드려는데 혜택좋은 설계사님들 추천좀해주세요"
82,"안녕하세요 그냥 인터넷으로 발급받는거보다는 설계사님 통해서 혜택받고 카드 만들고 싶은데 아시는 분 계시면 쪽지부탁드립니다
원하는 카드는 현대카드이고 위치는 서울, 고양시입니다"
83,현대카드 혜택 주실 설계사 분 모셔봐요~~
84,"현대카드 제로 발급원합니다
설계사분 통해서 좋은혜택으로 발급받고싶습니다"
85,"이십대 후반 직장인 남자구요,

주유할인을 주로 원합니다.

현재 쓰고 있는 신용카드 혜택이 마음에 안 들어서 ㅠㅠ
혜택 좋은 카드 추천좀 해 주세요"
86,"현대카드 레드에디션3 설계사 통해서 발급 가능한가요? 

가능하다면 도와주실 설계사분 찾습니다

답변이나 연락주세요 "
87,현대카드 신규 발급하려는데 설계사분 추천 (쪽지로)부탁드립니다.
88,현대카드 제로 설계사 찾아요.
89,"삼성 주유 및 영화 할인 목적으로 삼성 카라이프 카드 발급 도와줄 설계사 분 구합니다.

혜택 좀 챙겨주실 설계사분으로 연락 부탁드립니다.

카톡 아이디 남겨주시면 연락드리겠습니다."
90,"현대카드 만들려고 합니다.
사업자구요
연락처 쪽지로 주세요~"
91,"현대카드 설계사님 찾습니다

지금 하나카드 쓰고있고 일시불, 유이자 할부 같은경우 하나머니로 적립받고 적립금은 카카오페이머니로 넘겨서 사용중입니다
언제부턴가 하나카드 무이자할부가 아예 안되서 넘 부담스러워요..
현대카드가 포인트 쌓기 좋다고 해서 알아보는 중이예요
주로 소셜(티몬 11번가 지마켓 쿠팡 네이버쇼핑 등)에서 많이 이용하고
그 외에는 배민이나 식당, 동네마트 같은데에서 씁니다
가끔가다 두세달에 한번씩 이마트같은 대형 마트에서 십만원 이상 결제하구요

현대카드 아니여도 좋은 카드 있으면 추천 부탁드립니다"
92,"현대카드 m 2 카드 해외겸용 발급 받으려 하는데요 ,
지원금 혜택 등등 잘 챙겨주시는 설계사님께
발급 받고 싶습니다 !
답글 남겨주시면 , 제가 연락 드릴께요 ."
93,"현대카드 M이나 M2 발급받으려고 알아보고있는데

월 120-150 정도 신용카드 사용해요

지원금 최대한 많이 주실 수 있는 설계사님 부탁드려요~

댓글에 톡아디나 번호 남겨주세요~"
94,"현대카드 설계사님분들 찾아요

코스트코 회원으로 이용하다가 결제카드 변경으로 바꾸려고 하는데여.. 3명에서 4명정도 한꺼번에 가입할거에요~
제로카드가 젤 괜찮아보이는데, 다른 카드도 추천 부탁드려요
내공 겁니다"
95,"현대 '레드카드' 발급 문의드립니다.(최소 월 100만원 이상 사용)

연락 부탁드립니다."
96,"국민카드. 현대카드 설계사분 찾습니다.
추천부탁드려요"
97,"이번에 현대카드를 하나 만들려고합니다. 
부산담당자 지원 많이 해주시는 설계사분 있으시면 쪽지로 소개좀 부탁드립니다.~~"
98,"6명 정도 직장 동료들이 현대카드 신규로 발급 받고자합니다.
핸드폰 통신 할인 전용카드는 온라인 전용이라 하여
설계사님을 통해 다른 카드 발급 받고 추가 발급하고자 합니다.
연락처 쪽지 부탁드립니다."
99,"현대는 zero
적립형으로 발급받고싶습니다.

쪽지주세요!"
100,"안녕하세요. 저는 직장인이고(4개가입o, 카드신규발급 문제없음) 타사 신용카드는 사용중이며 이번에 처음으로 현대카드를 만들고자 합니다.

이전에 롯데카드 설계도 잘 받은적이 있어서 현대카드 설계사분도 좋은 분 계시면 가입하고싶어서요.

1. 현금 지원 많이 부탁드립니다.
2. 포인트 적립이 아닌 할인형으로 원합니다 (현대카드 제로 /할인형)
   포인트 적립은 더 많이 된다고하지만, 예상치 못한 소비를 하게되는 경우가 있어서 즉시할인형으로 안내    받고싶습니다."
101,"삼성 현대 롯데 신용카드 설계사 분 찾습니다
24살 학생입니다 통장잔고 300만원 이상이고
보험료도 5개월이상 내고 있습니다
영화관 교통비 할인되는 카드 찾습니다
부모님이 신용카드 만들때 돈을 받고 만든다고 하시는데
도와주실분 찾습니다ㅠ"
102,"제가모바일로 카드를 신청햇는데 이런문자가 왓는데
발급확률이 있을까요?"
103,"현대카드 M3 설계원하구요, 쪽지로 몇개월동안 얼마써야하며 얼마지원되는지 보내주세요.

연락드리겠습니다."
104,"현대카드 설계사 추천부탁드려요


설계사통해 하는게 혜택이 많아보여서요

현재 제로카드 인터넷으로 혼자신청해서

약2년정도 사용한것같아요


사업자라 월 사용량은 보통 800-1500사이 사용중입니다


프리미엄 라인인 퍼플이나 레드로 받고싶은데

상담받고싶습니다"
105,"현대카드 만드려고 하는데 예전에 한번 만든적 있다가
해지한지 6개월이 넘었는데 다시 사용하려고 하거든요
포인트 적립되는걸로 현금지원 많이 주시는 설계사님
쪽지나 답글 달아주세요!"
106,"현대카드 발급 설계사님 찾습니다
현대카드 소지중인데 그린으로 새로발급받고싶습니다


내공50겁니다"
107,"오늘 현대카드 발급 하려는데 지원금 많이 주시는 설계사님을 찾습니다 
연락처 남겨주세요"
108,"가급적 통화나 만남으로 설명듣고 좋은카드 만들고싶습니다
댓글 쪽지주세요"
109,"현대카드 발급예정인데
혜택주실 설계사 찾아용"
110,"현대카드 설계사분 계신가요?

코스트코 겸해서 주사용 카드 바꾸려구요
(현재 삼성카드 월 100~120 정도 사용)

쪽지주세요"
111,"토스, 카뱅 신용조회시 781점 4등급

우리은행 담보대출 잔액 60만

학자금대출 450만

대부업 종사 (4대보험有)

신한저축은행 쓰던거 완납하고 오늘 기록 삭제 되었습니다

당일 7~8시정도에 망월사역에서 진행 해주실수 있는 

설계사님 찾아요~"
112,"8년 전에 회사 옮기면서 신한은행이 주거래 은행으로 되어 있어서 신한카드 외에 모든 카드를 해지 했는데, 살펴보니 제가 사용하는 사용처 (온라인 교육, 백화점, 주유비)에 적합한 카드를 소개받고 발급해주실 설계사님 찾습니다. 안양에서 뵐 수 있는 설계사님 연락 바랍니다."
113,현대카드레드발급 받고 싶어요. 설계사분 계신가요
114,현대카드 m3 예정인데 설계사분의 조건 쪽지 부탁합니다.
115,현대카드 설계사님 찾습니다.
116,"현대카드 M3 Edition2 발급 받으려 합니다.
신규 가입시 혜택 주실수 있는 설계사 찾습니다~"
117,상담 잘 해주시고 페이백 잘 챙겨 주시는분으로 찾습니다 !
118,"현대카드 레드 발급가능하신 설계사분 연락부탁드립니다.
이전에 2017년도에 레드카드 사용했던터라 신규로 가입 가능합니다"
119,"현대카드 제로카드 발급 예정이고
신규입니다 지역은 서울 양천구인데
네이버 오피스로 양식만 작성하는거 사절입니다

쪽지나 다른 연락망 통해서 내일까지 해주실분만 연락주세요 "
120,"현대카드 레드 발급할려고 합니다

현대는 처음사용하는거고요
지금은 삼성카드 사용중입니다~

설계사를 통해서 발급할려고하는데요~
혜택많으신분...
연락많이남겨주세요"
121,"안녕하세요 부천사는 29살 여자입니다
직장은 신중동역 근처구요
공항 라운지 이용때문에 pp카드 가능한 카드발급 하려구요
현재 현대m2카드 사용중인데 1년에 2회 한도라 많이 부족하네여

현대 그린카드 or 삼성 아멕스 그린 고민중인데
부천쪽에 카드설계사분 쪽지 남겨주세요
상담받고 발급받고싶습니다"
122,"현대카드ZERO(할인형) 만들려고합니다

카톡 닉 적어두시면 연락드릴테니 얼마나 가능한지 얘기 부탁드려요!"
123,"차량 일시불 구매때문에
M3카드로 한도 1회 4000만원짜리 카드 만들고 싶은데

이달 안에 차량 구매예정입니다.
정보 좀 부탁드려요!!"
124,"여행 목적으로 현대카드 레드 알아 보고 있습니다.
(카드 발급에 문제 없습니다. ---4년전  현대카드 해지이력,  재산세...등 문제없습니다.)

다음주  카드 사용 할려고 하는데..

현대 카드 레드... 설계사님... 쪽지로 보내 주세요..."
125,"토스, 카뱅 신용조회시 781점 4등급

우리은행 담보대출 잔액 60만

학자금대출 450만

대부업 종사 (4대보험有)

신한저축은행 쓰던거 완납하고 오늘 기록 삭제 되었습니다

당일 7~8시정도에 망월사역에서 진행 해주실수 있는 

설계사님 찾아요~"
126,"현대카드 처음 만드려고 합니다. 혜택 좋은 현대카드 설계사 추천 해주세요.
현대카드 설계사분도  댓글 주세요^^"
127,삼성카드나 현대카드 설계사분중 안산이나 서울 수유동쪽 혜택 좋게해서 개설 해주시는 분 계시나요 ~
128,"원래 레드 쓰고있었는데 유효기간이 끝나가서 퍼플로 갈아타고 싶네요.
자격 요건은 충분하구요."
129,"우선 광고는 절대 거절합니다.

현재 첫 신용카드로 삼성카드 2~3개월째 연체없이 잘 사용중입니다.(매달 60이상~ 사용)
다만 처음 한도 설정시 본인착오로인해 100만원으로 했는데 미루고미루다 다시 재상향 하려고 보니 일시상향도 안되고 정상적으로는 수일이 지나야한다고 합니다... 
그래서 차라리 다른 카드로 발급받으려 하는데 굳이 현대가 아니여도 괜찮습니다 한도도 많이 바라지않습니다.
  등급은 올크6등급 688점
4대보험없이 재직 7개월째이며 월급여로는 달달히 통장으로 100~이상 받고있습니다.
연체x , 부동산x"
130,"현대카드 설계사분들 연락 기다립니다!

더레드 발급 원합니다.

발급 조건은 충족하니 댓글주시면 연락드리겠습니다."
131,현대카드 설계사 분 있나요 카톡 열락주실수있나요 감사합니다 bn66702
132,"현대카드에서 제가모바일로 신청햇는데
서류는 제출햇는데 발급 가능성이 있을까요?
입출금거래내역어 3개월분하고.재직증명서.사업자등록증
을 보냇는데 현대카드설계사님 답변부탁드립니다."
133,현대카드 경차카드도 설계사님을 통해 만들면 혜택을 받나요?
134,"부산 입니다.
현대카드 레드 발급 가능하신 설계사분 계신가요?
2명 신청할껀데 꼭 부산에 계신분만 연락 해주세요."
135,"현대카드레드 발급을 하려고 하는데 설계사분을 찾습니다.
 저는 서울 중구에 있습니다."
136,현대카드 지원금 많은 설계사분 찾습니다~ 현대카드 제로 할인형에 관심 있어요~ 쪽지 부탁드려요~^^
137,"4대보험 가입 되어 있고요
원래 체크카드만 썼는데 가끔 불편할때가 있더라고요
할부 받거나 해외에서 쓰거나 해외계좌로 입금할떄 쓰려고 합니다.
그래서 교통비, 카페나 식당 이런 할인은 그닥 눈에 안들어오는데 어떤 카드가 적당할까요?
그리고 설계사분 통해서 발급 받으면 추가 혜택도 있고 더 좋다고 하던데
연락처 남겨주세요 감사합니다~"
138,"현대카드 설계사님 답변구합니다.
1주일전 그린카드 발급 받았는데 레드카드 요건된다면 변경 가능한가요? 월 200가까이 쓰는데 레드카드 연회비 지원가능한지랑..

그린카드 이미 발급 받았는데 취소하고 설계사님께 다시 발급 받을수있는지 알려주세요"
139,"현대카드 설계사님들께 문의요...

현대카드 발급받으려고 하는데 혜택이나 지원관련 문의합니다. 강원 춘천지역 가능한 설계사님 답변주세요."
140,"빨리 카드 신청하고 싶은데 XX폼으로 연락처 남기라고 하고 전화도 안오고...

전화번호 남기기 그러시면 쪽지로 주세요"
141,"이번에 현대카드를 하나 만들려고합니다.

지원 많이 해주시는 설계사분 있으시면 쪽지로 소개좀 부탁드립니다.~~"
142,"현태카드 M2 플레티넘 카드 만들려고 합니다
현대카드 설계사분 찾아요"
143,"현대카드 제로 모바일 포인트형을 발급 받으려 합니다.
현대카드 발급은 이번이 처음이구요..
이용 금액은 매달 100만원 정도입니다.
 신용카드 발급 조건은 이전 지식in 답변들 읽어보니 충족되는 것으로 보이구요.
네이버 블로그에 보니 연회비 포함 10만원, 매월 100만원 이상 사용시 매월 2만원 준다고 되있는데..
믿을 수 있는 부분인지 확신이 가지 않아서ㅠ 지식인에 올려봅니다ㅠ
 (+현대카드 제로 모바일 포인트형 발급하기 위해 글을 올린 것이구요.
  현대카드 내 M2 Edition 등 다른 카드에 대한 홍보는 정중히 사양하겠습니다.)
 내공 80 걸게요~
감사합니다!"
144,"현대카드 설계사가되고싶은데 어떻게 되야할까요?
어디서사람을 뽑나요?
어느사이트가야하나요?
어떻게알아봐야할까요?
위치는 울산입니다."
145,"창업을 해서 카드를 이용하려고 합니다.
한 달에 기본 100이상은 쓸거 같고
코스트코가 제일 많이 들어가지 않을까 싶습니다.
추천사 분들 답 주세요!"
146,"더레드카드 발급하려고 합니다.
발급조건은 충족합니다.
좋은 혜택 가능하신 설계사분 찾아요."
147,안녕하세요 현대카드 설계사통해서 혜택받고 발급하고싶은데요 어머니거하고 제거 2장 이구여 하이마트통신캐시백형 이에요~
148,"20대 후반 직장인 주유, 통신, 쇼핑 정도로 50만원이상 사용해요 타카드 3년정도 사용하다 교체 하려고요
예전에 설계사 통해서 발급 받았어서 이번에도 친절한 현대카드 설계사 추천 또는 쪽지 주세요"
149,"삼성카드 발급해서 사용중인데
할인한도때문에 하나 더 발급하고 싶어서요~
알아보던도중 현대카드 제로 모바일 포인트로
가입하고 싶은데요~ 잘 챙겨주실 설계사님 계실까요
현재 공부하며 아르바이트 2년째 하고 있습니다 월소득은 90정도 입니다 사대보험 미가입인데 가능한가요?"
150,"연락주세요
그린카드 만들거고 혜택좋은분께 가입예정입니다 신규입니다"
151,"지역은 대전입니다. 현대카드 발급하려하는데 혜택좋은 설계사분 찾습니다
대부분사용하는것들 모두 현대카드로 사용할계획이구요 상담한번 받아보고싶은데 제아이디로 쪽지주시면 감사하겠습니당"
152,"분당에서 현대카드 발급받으려고 하는데요 (이매동)
설계사님 추천부탁드려요~
M으로 받으려고 합니다:)"
153,"현대카드를 만들고싶은데
혜택많이 줄수있는 설계사 추천부탁드려요
감사합니다:)"
154,4대보험들은 직장에서 월70정도 카드쓰는데 현금지원받고 현대카드만드려고합니다 wlsdnr0995로 카톡주십쇼
155,"현대카드 레드카드 만드려고 하는데
신규발급이고
혜택 많이 주실 설계사님 찾습니다!
소개부탁드립니다"
156,"신규이고 월100~150정도 예상해요
사업자카드로 만들고 싶은데
혜택 많이 주실 설계사님 계실까요~?^^
댓글 부탁드립니다^^"
157,"현대카드 설계사 추천좀 부탁드려요

이번에 결혼 준비로 M3 카드 발급 희망하는데 혜택 좋은 현대카드 설계사 추천이나 설계사분 쪽지주세요"
158,"현대카드 제로할인형 혜택좋은 설계사분 잇나요
이번에발급받고싶어요"
159,현대카드 혜택 좋게^^
160,"현대카드 설계사님 찾아요
한달에 70~100정도 쓰는것같아요!!"
161,지금 당장 신청하고 싶은데 말이죠 
162,"한달에 40~60정도 쓰는 카드 교체 하려고 하는데

설계사 분들 도움 좀 주세요"
163,"안녕하세요

현대카드를 새로 발급하려고 하는데,

설계사님들을 통해 윈윈 했으면 좋겠습니다.

감사합니다."
164,현대카드 레드 설계사님 찾습니다. 답변 부탁드려요.
165,"설계사님 통해서 현대카드 제로 할인형 카드를 만들고 싶은데
지역이 같아야만 상담이가능한가요 ..
전남지역 설계사님 답변부탁드려요~~"
166,"현대카드 레드설계사분 찾습니다
4인이고요"
167,"현대카드 설계사가 월50만원 결제를 강요해요

초기에 17만원 ? 주면서 카드만들어달라고 해서 만들었는데요. 그3개월뒤부터 그 카드를 잘안썻더니 연락와서 1년간 50만원 결제하라며 강요하는데 짜증나네요

원래 카드설계사님들 합법적으로 이래도 되나요?"
