,content
29,"이번에 신한카드 딥 드림 시그니처 카드를 발급받았는데
기존에 있는 신한카드 딥드림 카드와 동일한 카드인가요? 다른카드인가요?
다른점과 같은점을 알고 싶네요. 카드는이미 시그니처로 발급받았습니다.

명쾌한 답을 듣고싶습니다."
30,"50만원 100만원 150만원 쓰면 얼마나 적립되는건가요?

당최 이해사 안돼서요

정확히좀 알려주세요 ㅅ

발급 도와주실분"
31,"신한 딥드림 발급받고 싶은데

잘해주실 영맨 계실까요~~"
32,"이번에 신용카드를 갈아타서 하나로 몰아쓰려고 하는데요
월 100~200정도 사용하고
주로 외식(배민, 술집), 온라인 쇼핑(네이버,11번가), 마트나 백화점에서 사용하는데 어떤게 더 나은가요?"
33,"신한카드 딥드림 플래티넘 카드 신청을 했는데요.

제가 예전에 군대 가기전 휴대폰을 정지 하지않아서 통신비가 장기연체 되었었는데, 전역후에 전부 완납 하였고 지금은 대출이나 연체 하나없이 잘 생활 합니다.

신용카드 하나 만들어서 쓰고 싶은데... 연체 기록 때문인지 처음엔 심사에서 떨어졌는데 처음 신청한 상담사분한테 다시 여쭤보니 예외진행으로 다시 서류 올렸다고 하시더군요

제 상황을 말씀드리자면

15년도쯤생긴 연체상황 17년도에 완납후 해결
신용도는 대략 6등급..정도
18년 10월에 새로 입사한 직장에서 급여는 2번
(4대보험 납부도 2번, 이번달 21일에 3개월째 납부하며 급여도 3개월치 수령)
수습이였다가 정직원으로 바뀌고 연봉계약도 다시 재계약

이런 조건에서 카드발급심사 떨어질까요?
신한카드나 다른 카드사에서 근무하시는 분들께 여쭤보고 싶습니다."
34,"신한카드 딥 드림 신용카드 사용중인데요
한도가 초과되어 앱으로 한도를 늘렸는데
바로 한도가 늘어나서 사용 가능한것인가요?"
35,"두카드가 크게 어떻게 다른지 설명 해주시면 감사하겠습니다
감사합니다."
36,"5-6년 전에 신한카드 만들었다가 사용도 안 했는데

신규가입 혜택 받을 수 있나요?

웬만하면 돈으로 받고 싶어요"
37,신한카드 딥드림체크카드 혹시 계좌이체나 잔액조회는 어떻게 하나요??
38,"제가 신한카드 딥드림 신용카드 사용중인데
제가 이마트에서 한달에 족히70만원넘게 쓰고
통신요금도10만원 넘는데 왜 마이신한포인트에 포인트가 적립이 안되나요 앱에 들어가니 포인트가0 이네요..."
39,둘 중에 뭐가 더 좋을까요?
40,"딥플 아니고
일반 딥드림에 관한 질문입니다


아래 포인트 적립 제외 대상은 모두드림도 포함인가요??

포인트 적립 제외 대상은 아래와 같습니다.
단기카드대출(현금서비스)/장기카드대출(카드론)/연회비/각종 수수료/이자/거래 취소금액
기프트카드 구매금액/ 선불카드 충전금액
포인트 사용 거래 금액
지방세/국세
아파트관리비/도시가스/전기료
4대보험(국민연금/고용보험/건강보험/산재보험)
무이자/슬림할부 이용거래
당사 할인이 적용된 거래"
41,신한카드 중 신용카드 추천 좀해주세요. 사은품도 궁금하네요
42,신한카드 딥드림 체크카드 사용중인데 택시 결제 횟수 3/6/9회 1000원 할인은 대체 어디서되는건가요 캐시백같지도않고 3회차에 4000원 택시비 결제해도 감액되지 않고 그대로4000원 나가던데
43,"신한카드 딥드림 체크카드 그 미니언즈 있는거요
이 카드는 버스카드로는 안돼는건가요..?
방금 이걸로 찍으려다가 안찍혀서요 ㅠ"
44,"신한카드 딥드림 체크카드 소지자입니다
어쩌다가 발급했는데 검색해보니 혜택이 좋더라구요
근데 딥드림신용카도 그럭저럭 좋더라구요
근데 딥드림 체크카드가 있어 딥드림신용카드 발급
받기 뭐하네요 더좋고 연회비도 실속있는
카드...추천해주세요 (연회비2만원이상 x)"
45,영화 즉시할인 적용되나요??
46,"신한카드 딥드림 플래티넘 카드발급예정입니다.
요즘 연회비 페이백 이벤트가 공식적으로 진행되고 있는것 같은데, 그 외 카드설계사분들께 신청하면 좋은게 무엇이 있을까요? 은행가서 직접하는것과 무슨차이가 있는지 궁금하네요."
47,"신한카드 딥드림 신규발급받고싶습니다.
설계자분들 쪽지주세요.."
48,"만 16세 학생이 신한카드 딥드림 미니언즈 체크카드를 영업점 가서 혼자 발급받으려고 하는데요
1. 입출금통장은 있고요 다른 준비물이나 부모님 동의?나 부모님과 같이 가야하나요?
2. 바로 받아서 쓸 수 있나요?
3. 주의할점
알려주세요"
49,신한카드 딥드림플래티넘이랑 rpm+중에 고민하고있습니다 추천해주세요
50,2018년 4월에 신한카드 딥드림 카드사용하다가 일시정지시켜논 상태구요 딥드립플레디넘으로 발급받고싶은데 혜택주실 수 있는 상담사분 계신가요?
51,"제가 신한 미니언즈 딥 드림 체크카드를 만들었는데
보험료나 휴대폰 요금을 체크카드로 결제해도
적립이 되는건가용?
적립이 공과금은 제외라는데 보험료나 휴대폰요금도 공과금으로 해당되는 건가용?"
52,"안녕하세요 신한카드 딥 드림 플러스 플래티넘 카드를 발급해주신다는 전화가 왔을 때
공항 라운지 이용 문의드렸더니 2회 가능하다고 하셔서 발급을 받았습니다 그런데 카드 혜택에 아무리 찾아봐도 라운지 이야기는 없고 전월 실적도 얼마가 쌓여야 하는지에 대한 말이 없어서 문의드려요 ㅜㅜ"
53,"안녕하세요

신한카드 딥드림 신용카드를 발급 받고 싶은데요

대중교통도 적립가능한가요?
삼성페이 모바일티머니 적립가능한가요?"
54,"신한카드 새로하려는데요 딥드림이랑 하이포인트중에 고민입니다 월 100 이상은 쓰다가 카드 새로하면 월100 이하로 쓸거고(통신 고통 포함) 주로 뭘 사용한다기 보다는 점심값, 술값, 택시, 편의점이랑 가끔 마트에서 장보고 뭐 그런 일반적입니다 뭐가 나을까요 그리고 설계사님 통해서 하면 뭐가 좋나요 카드별 혜택은 다 알고 있으니 뭐가 몇프로 뭐는 몇프로 이런 복붙 설명 하지마세요 질문에만 답해주세요"
55,조건 좋은 설계사님 연락주세요
